organism,nominal_flip_uG,mean_flip_uG,std_flip_uG,ci_2.5,ci_97.5,ci_5,ci_95,n_valid
ecoli,0.2765765765765765,0.28869246231155776,0.10807273086999347,0.13922236180904524,0.5870854271356785,0.1589974874371859,0.4791306532663312,200
yeast,0.2399099099099099,0.2502615577889447,0.09380876908305188,0.12429773869346727,0.5124623115577889,0.13909798994974876,0.4144572864321603,200
mammalian,0.1636036036036036,0.1702158291457286,0.06416873966945584,0.0844987437185929,0.3482914572864322,0.0943241206030151,0.2846130653266328,200
