organism,reattribution_factor,V_glyc_effective,V_resp_effective,flip_uG,rho,baseline_rho,delta_rho_from_baseline,delta_flip_from_baseline,attribution_sensitivity
ecoli,0.7,0.161,0.00637,0.5139278557114229,0.5143478260869565,0.2769565217391304,0.23739130434782613,0.2380761523046092,0.2380761523046092
ecoli,0.7122448979591837,0.16381632653061226,0.0063100000000000005,0.5000400801603206,0.500743739877912,0.2769565217391304,0.2237872181387816,0.224188376753507,0.224188376753507
ecoli,0.7244897959183673,0.1666326530612245,0.0062499999999999995,0.48615230460921843,0.4875995101041028,0.2769565217391304,0.21064298836497242,0.2103006012024048,0.2103006012024048
ecoli,0.736734693877551,0.16944897959183672,0.00619,0.47424849699398797,0.4748922076357943,0.2769565217391304,0.19793568589666394,0.19839679358717432,0.19839679358717432
ecoli,0.7489795918367347,0.17226530612244897,0.00613,0.4623446893787575,0.4626004027958773,0.2769565217391304,0.1856438810567469,0.18649298597194386,0.18649298597194386
ecoli,0.7612244897959183,0.1750816326530612,0.00607,0.45044088176352703,0.4507040447604616,0.2769565217391304,0.17374752302133123,0.1745891783567134,0.1745891783567134
ecoli,0.773469387755102,0.17789795918367346,0.00601,0.43853707414829657,0.43918435241482157,0.2769565217391304,0.1622278306756912,0.16268537074148293,0.16268537074148293
ecoli,0.7857142857142857,0.18071428571428572,0.00595,0.4266332665330661,0.42802371541501977,0.2769565217391304,0.1510671936758894,0.15078156312625246,0.15078156312625246
ecoli,0.7979591836734694,0.18353061224489797,0.005889999999999999,0.4167134268537074,0.4172056043589458,0.2769565217391304,0.14024908261981545,0.14086172344689374,0.14086172344689374
ecoli,0.810204081632653,0.1863469387755102,0.00583,0.4048096192384769,0.4067144891030555,0.2769565217391304,0.12975796736392514,0.12895791583166327,0.12895791583166327
ecoli,0.8224489795918367,0.18916326530612246,0.005770000000000001,0.3948897795591182,0.3965357643758766,0.2769565217391304,0.11957924263674624,0.11903807615230455,0.11903807615230455
ecoli,0.8346938775510204,0.19197959183673471,0.00571,0.38496993987975947,0.38665568193898153,0.2769565217391304,0.10969916019985115,0.10911823647294583,0.10911823647294583
ecoli,0.846938775510204,0.19479591836734694,0.0056500000000000005,0.3770340681362725,0.37706128863279204,0.2769565217391304,0.10010476689366166,0.10118236472945885,0.10118236472945885
ecoli,0.8591836734693877,0.1976122448979592,0.00559,0.36711422845691377,0.367740369720128,0.2769565217391304,0.09078384798099765,0.09126252505010013,0.09126252505010013
ecoli,0.8714285714285714,0.20042857142857143,0.005529999999999999,0.35719438877755516,0.3586813970064148,0.2769565217391304,0.08172487526728445,0.08134268537074152,0.08134268537074152
ecoli,0.883673469387755,0.20324489795918366,0.00547,0.3492585170340682,0.34987348127322027,0.2769565217391304,0.07291695953408989,0.07340681362725454,0.07340681362725454
ecoli,0.8959183673469387,0.2060612244897959,0.005410000000000001,0.33933867735470946,0.3413063286124592,0.2769565217391304,0.06434980687332881,0.06348697394789582,0.06348697394789582
ecoli,0.9081632653061225,0.20887755102040817,0.00535,0.3314028056112225,0.33297020029311186,0.2769565217391304,0.05601367855398148,0.05555110220440884,0.05555110220440884
ecoli,0.9204081632653061,0.2116938775510204,0.00529,0.3234669338677355,0.3248558758314857,0.2769565217391304,0.047899354092355295,0.047615230460921865,0.047615230460921865
ecoli,0.9326530612244898,0.21451020408163265,0.00523,0.31553106212424853,0.3169546189706023,0.2769565217391304,0.03999809723147191,0.03967935871743489,0.03967935871743489
ecoli,0.9448979591836735,0.2173265306122449,0.00517,0.30759519038076155,0.30925814630481735,0.2769565217391304,0.03230162456568697,0.03174348697394791,0.03174348697394791
ecoli,0.9571428571428571,0.22014285714285714,0.00511,0.3016432865731463,0.3017585983127839,0.2769565217391304,0.02480207657365352,0.025791583166332677,0.025791583166332677
ecoli,0.9693877551020408,0.2229591836734694,0.005050000000000001,0.29370741482965934,0.2944485125858124,0.2769565217391304,0.017491990846682015,0.0178557114228457,0.0178557114228457
ecoli,0.9816326530612245,0.22577551020408165,0.00499,0.28577154308617236,0.28732079905992947,0.2769565217391304,0.010364277320799087,0.009919839679358722,0.009919839679358722
ecoli,0.9938775510204081,0.22859183673469388,0.00493,0.27981963927855713,0.28036871707883226,0.2769565217391304,0.0034121953397018845,0.003967935871743489,0.003967935871743489
ecoli,1.0061224489795917,0.2314081632653061,0.00487,0.27188376753507015,0.2735858541317577,0.2769565217391304,-0.0033706676073727015,-0.003967935871743489,0.003967935871743489
ecoli,1.0183673469387755,0.23422448979591837,0.00481,0.2659318637274549,0.2669661061252941,0.2769565217391304,-0.00999041561383629,-0.009919839679358722,0.009919839679358722
ecoli,1.030612244897959,0.2370408163265306,0.00475,0.2599799599198397,0.26050365906155837,0.2769565217391304,-0.01645286267757201,-0.015871743486973955,0.015871743486973955
ecoli,1.0428571428571427,0.23985714285714282,0.004690000000000001,0.25402805611222445,0.2541929720071472,0.2769565217391304,-0.02276354973198319,-0.021823647294589188,0.021823647294589188
ecoli,1.0551020408163265,0.2426734693877551,0.00463,0.24609218436873748,0.24802876124800266,0.2769565217391304,-0.02892776049112772,-0.029759519038076165,0.029759519038076165
ecoli,1.0673469387755101,0.24548979591836734,0.00457,0.24014028056112224,0.24200598553495722,0.2769565217391304,-0.034950536204173155,-0.0357114228456914,0.0357114228456914
ecoli,1.079591836734694,0.24830612244897962,0.004509999999999999,0.234188376753507,0.23611983233336065,0.2769565217391304,-0.04083668940576973,-0.04166332665330663,0.04166332665330663
ecoli,1.0918367346938775,0.25112244897959185,0.00445,0.23022044088176352,0.2303657049979683,0.2769565217391304,-0.04659081674116208,-0.04563126252505012,0.04563126252505012
ecoli,1.1040816326530611,0.25393877551020405,0.004390000000000001,0.2242685370741483,0.22473921080125378,0.2769565217391304,-0.0522173109378766,-0.05158316633266535,0.05158316633266535
ecoli,1.116326530612245,0.25675510204081636,0.00433,0.21831663326653306,0.21923614974962238,0.2769565217391304,-0.057720371989507996,-0.057535070140280586,0.057535070140280586
ecoli,1.1285714285714286,0.25957142857142856,0.00427,0.21236472945891782,0.213852504127683,0.2769565217391304,-0.06310401761144738,-0.06348697394789582,0.06348697394789582
ecoli,1.1408163265306124,0.2623877551020409,0.004209999999999999,0.20839679358717433,0.20858442871587454,0.2769565217391304,-0.06837209302325584,-0.06745490981963931,0.06745490981963931
ecoli,1.153061224489796,0.2652040816326531,0.004149999999999999,0.2024448897795591,0.20342824163139664,0.2769565217391304,-0.07352828010773374,-0.07340681362725454,0.07340681362725454
ecoli,1.1653061224489796,0.26802040816326533,0.00409,0.19649298597194387,0.19838041574659251,0.2769565217391304,-0.07857610599253786,-0.07935871743486977,0.07935871743486977
ecoli,1.1775510204081634,0.2708367346938776,0.004029999999999999,0.19252505010020038,0.1934375706427548,0.2769565217391304,-0.08351895109637558,-0.08332665330661326,0.08332665330661326
ecoli,1.189795918367347,0.27365306122448985,0.00397,0.1885571142284569,0.18859646506078,0.2769565217391304,-0.08836005667835037,-0.08729458917835675,0.08729458917835675
ecoli,1.2020408163265306,0.27646938775510205,0.00391,0.18260521042084166,0.18385398981324277,0.2769565217391304,-0.0931025319258876,-0.09324649298597198,0.09324649298597198
ecoli,1.2142857142857144,0.2792857142857143,0.0038499999999999993,0.17863727454909817,0.17920716112531965,0.2769565217391304,-0.09774936061381073,-0.09721442885771547,0.09721442885771547
ecoli,1.226530612244898,0.28210204081632656,0.0037899999999999995,0.17268537074148294,0.17465311437459302,0.2769565217391304,-0.10230340736453736,-0.1031663326653307,0.1031663326653307
ecoli,1.2387755102040816,0.28491836734693876,0.00373,0.16871743486973945,0.17018909820213451,0.2769565217391304,-0.10676742353699586,-0.1071342685370742,0.1071342685370742
ecoli,1.2510204081632654,0.2877346938775511,0.0036699999999999992,0.16474949899799596,0.1658124689694304,0.2769565217391304,-0.11114405276969999,-0.11110220440881768,0.11110220440881768
ecoli,1.263265306122449,0.2905510204081633,0.0036099999999999995,0.16078156312625247,0.16152068553768348,0.2769565217391304,-0.1154358362014469,-0.11507014028056117,0.11507014028056117
ecoli,1.2755102040816326,0.29336734693877553,0.00355,0.15681362725450898,0.1573113043478261,0.2769565217391304,-0.11964521739130429,-0.11903807615230466,0.11903807615230466
ecoli,1.2877551020408164,0.2961836734693878,0.003489999999999999,0.1528456913827655,0.15318197478123055,0.2769565217391304,-0.12377454695789983,-0.12300601202404815,0.12300601202404815
ecoli,1.3,0.29900000000000004,0.0034299999999999995,0.148877755511022,0.14913043478260865,0.2769565217391304,-0.12782608695652173,-0.12697394789579164,0.12697394789579164
yeast,0.7,0.322,0.01105,0.4444889779559118,0.4461180124223602,0.24021739130434785,0.20590062111801236,0.20434869739478956,0.20434869739478956
yeast,0.7122448979591837,0.3276326530612245,0.01094591836734694,0.43258517034068134,0.4343185498941074,0.24021739130434785,0.19410115858975954,0.1924448897795591,0.1924448897795591
yeast,0.7244897959183673,0.333265306122449,0.010841836734693877,0.4226653306613226,0.42291794243723213,0.24021739130434785,0.18270055113288428,0.18252505010020037,0.18252505010020037
