organism,membrane_frac,effective_Phi,flip_uG,Vgamma_R_cap,Vgamma_G_cap
ecoli,0.0,0.26,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.01020408163265306,0.25734693877551024,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.02040816326530612,0.2546938775510204,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.030612244897959183,0.25204081632653064,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.04081632653061224,0.2493877551020408,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.0510204081632653,0.24673469387755104,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.061224489795918366,0.24408163265306124,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.07142857142857142,0.24142857142857144,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.08163265306122448,0.23877551020408164,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.09183673469387754,0.23612244897959184,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.1020408163265306,0.23346938775510204,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.11224489795918366,0.23081632653061224,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.12244897959183673,0.22816326530612244,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.13265306122448978,0.22551020408163266,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.14285714285714285,0.2228571428571429,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.1530612244897959,0.2202040816326531,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.16326530612244897,0.2175510204081633,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.17346938775510204,0.2148979591836735,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.18367346938775508,0.2122448979591837,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.19387755102040816,0.2095918367346939,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.2040816326530612,0.2069387755102041,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.21428571428571427,0.2042857142857143,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.22448979591836732,0.2016326530612245,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.2346938775510204,0.19897959183673472,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.24489795918367346,0.1963265306122449,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.25510204081632654,0.19367346938775512,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.26530612244897955,0.19102040816326532,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.2755102040816326,0.18836734693877552,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.2857142857142857,0.18571428571428572,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.29591836734693877,0.18306122448979592,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.3061224489795918,0.18040816326530615,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.31632653061224486,0.17775510204081632,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.32653061224489793,0.17510204081632655,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.336734693877551,0.17244897959183672,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.3469387755102041,0.16979591836734695,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.3571428571428571,0.16714285714285715,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.36734693877551017,0.16448979591836735,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.37755102040816324,0.16183673469387758,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.3877551020408163,0.15918367346938778,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.39795918367346933,0.156530612244898,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.4081632653061224,0.15387755102040818,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.4183673469387755,0.1512244897959184,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.42857142857142855,0.14857142857142858,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.4387755102040816,0.1459183673469388,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.44897959183673464,0.143265306122449,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.4591836734693877,0.1406122448979592,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.4693877551020408,0.1379591836734694,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.47959183673469385,0.1353061224489796,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.4897959183673469,0.1326530612244898,0.27585170340681364,0.12739999999999999,0.46
ecoli,0.5,0.13,0.27585170340681364,0.12739999999999999,0.46
yeast,0.0,0.2,0.24014028056112224,0.22100000000000003,0.92
yeast,0.01020408163265306,0.1979591836734694,0.24014028056112224,0.22100000000000003,0.92
yeast,0.02040816326530612,0.1959183673469388,0.24014028056112224,0.22100000000000003,0.92
yeast,0.030612244897959183,0.19387755102040816,0.24014028056112224,0.22100000000000003,0.92
yeast,0.04081632653061224,0.19183673469387755,0.24014028056112224,0.22100000000000003,0.92
yeast,0.0510204081632653,0.18979591836734697,0.24014028056112224,0.22100000000000003,0.92
yeast,0.061224489795918366,0.18775510204081636,0.24014028056112224,0.22100000000000003,0.92
yeast,0.07142857142857142,0.18571428571428572,0.24014028056112224,0.22100000000000003,0.92
yeast,0.08163265306122448,0.1836734693877551,0.24014028056112224,0.22100000000000003,0.92
yeast,0.09183673469387754,0.1816326530612245,0.24014028056112224,0.22100000000000003,0.92
yeast,0.1020408163265306,0.1795918367346939,0.24014028056112224,0.22100000000000003,0.92
yeast,0.11224489795918366,0.17755102040816328,0.24014028056112224,0.22100000000000003,0.92
yeast,0.12244897959183673,0.17551020408163265,0.24014028056112224,0.22100000000000003,0.92
yeast,0.13265306122448978,0.17346938775510204,0.24014028056112224,0.22100000000000003,0.92
yeast,0.14285714285714285,0.17142857142857146,0.24014028056112224,0.22100000000000003,0.92
yeast,0.1530612244897959,0.16938775510204085,0.24014028056112224,0.22100000000000003,0.92
yeast,0.16326530612244897,0.1673469387755102,0.24014028056112224,0.22100000000000003,0.92
yeast,0.17346938775510204,0.1653061224489796,0.24014028056112224,0.22100000000000003,0.92
yeast,0.18367346938775508,0.163265306122449,0.24014028056112224,0.22100000000000003,0.92
yeast,0.19387755102040816,0.16122448979591839,0.24014028056112224,0.22100000000000003,0.92
yeast,0.2040816326530612,0.15918367346938778,0.24014028056112224,0.22100000000000003,0.92
yeast,0.21428571428571427,0.15714285714285714,0.24014028056112224,0.22100000000000003,0.92
